Method,n,k,elapsed
BruteForce,1024,8,10583
BruteForceIdiomatic,1024,8,9208
BruteForce,1024,16,26666
BruteForceIdiomatic,1024,16,24375
BruteForce,1024,32,76791
BruteForceIdiomatic,1024,32,72416
BruteForce,1024,64,220791
BruteForceIdiomatic,1024,64,165208
BruteForce,1024,128,430166
BruteForceIdiomatic,1024,128,426500
BruteForce,1024,256,701333
BruteForceIdiomatic,1024,256,671458
BruteForce,1024,512,856875
BruteForceIdiomatic,1024,512,760958
BruteForce,1024,1024,3125
BruteForceIdiomatic,1024,1024,3125
BruteForce,2048,8,11291
BruteForceIdiomatic,2048,8,9833
BruteForce,2048,16,28625
BruteForceIdiomatic,2048,16,26208
BruteForce,2048,32,83291
BruteForceIdiomatic,2048,32,78291
BruteForce,2048,64,232625
BruteForceIdiomatic,2048,64,223791
BruteForce,2048,128,603083
BruteForceIdiomatic,2048,128,535958
BruteForce,2048,256,1119958
BruteForceIdiomatic,2048,256,1014333
BruteForce,2048,512,1837166
BruteForceIdiomatic,2048,512,1833541
BruteForce,2048,1024,2511708
BruteForceIdiomatic,2048,1024,2509000
BruteForce,4096,8,18208
BruteForceIdiomatic,4096,8,15833
BruteForce,4096,16,46458
BruteForceIdiomatic,4096,16,42541
BruteForce,4096,32,135750
BruteForceIdiomatic,4096,32,127916
BruteForce,4096,64,382166
BruteForceIdiomatic,4096,64,366708
BruteForce,4096,128,1008166
BruteForceIdiomatic,4096,128,998875
BruteForce,4096,256,2183291
BruteForceIdiomatic,4096,256,2175583
BruteForce,4096,512,4288041
BruteForceIdiomatic,4096,512,4277000
BruteForce,4096,1024,7533166
BruteForceIdiomatic,4096,1024,7533791
BruteForce,8192,8,36458
BruteForceIdiomatic,8192,8,31708
BruteForce,8192,16,93000
BruteForceIdiomatic,8192,16,84458
BruteForce,8192,32,273041
BruteForceIdiomatic,8192,32,256833
BruteForce,8192,64,770458
BruteForceIdiomatic,8192,64,739500
BruteForce,8192,128,2048208
BruteForceIdiomatic,8192,128,2029833
BruteForce,8192,256,4511291
BruteForceIdiomatic,8192,256,4490250
BruteForce,8192,512,9195833
BruteForceIdiomatic,8192,512,9162625
BruteForce,8192,1024,17591708
BruteForceIdiomatic,8192,1024,17557750
BruteForce,16384,8,73208
BruteForceIdiomatic,16384,8,63500
BruteForce,16384,16,186916
BruteForceIdiomatic,16384,16,169166
BruteForce,16384,32,547250
BruteForceIdiomatic,16384,32,514541
BruteForce,16384,64,1547416
BruteForceIdiomatic,16384,64,1485041
BruteForce,16384,128,4131291
BruteForceIdiomatic,16384,128,4094666
BruteForce,16384,256,9157958
BruteForceIdiomatic,16384,256,9123875
BruteForce,16384,512,18989708
BruteForceIdiomatic,16384,512,18954291
BruteForce,16384,1024,37663791
BruteForceIdiomatic,16384,1024,37634041
BruteForce,32768,8,146083
BruteForceIdiomatic,32768,8,127125
BruteForce,32768,16,373916
BruteForceIdiomatic,32768,16,341541
BruteForce,32768,32,1096125
BruteForceIdiomatic,32768,32,1030333
BruteForce,32768,64,3256666
BruteForceIdiomatic,32768,64,2978208
BruteForce,32768,128,8291875
BruteForceIdiomatic,32768,128,8217791
BruteForce,32768,256,18468666
BruteForceIdiomatic,32768,256,18404166
BruteForce,32768,512,38576250
BruteForceIdiomatic,32768,512,38500750
BruteForce,32768,1024,77869833
BruteForceIdiomatic,32768,1024,77783791
BruteForce,65536,8,292041
BruteForceIdiomatic,65536,8,253166
BruteForce,65536,16,748208
BruteForceIdiomatic,65536,16,677250
BruteForce,65536,32,2194041
BruteForceIdiomatic,65536,32,2062666
BruteForce,65536,64,6213041
BruteForceIdiomatic,65536,64,5959583
BruteForce,65536,128,16616458
BruteForceIdiomatic,65536,128,16470416
BruteForce,65536,256,37083166
BruteForceIdiomatic,65536,256,36935958
BruteForce,65536,512,77823583
BruteForceIdiomatic,65536,512,77616208
BruteForce,65536,1024,158212166
BruteForceIdiomatic,65536,1024,158096791
BruteForce,131072,8,584500
BruteForceIdiomatic,131072,8,508208
BruteForce,131072,16,1496375
BruteForceIdiomatic,131072,16,1356958
BruteForce,131072,32,4385958
BruteForceIdiomatic,131072,32,4112333
BruteForce,131072,64,12447291
BruteForceIdiomatic,131072,64,11925625
BruteForce,131072,128,33283500
BruteForceIdiomatic,131072,128,32986916
BruteForce,131072,256,74342375
BruteForceIdiomatic,131072,256,74038833
BruteForce,131072,512,156209625
BruteForceIdiomatic,131072,512,155881916
BruteForce,131072,1024,319000833
BruteForceIdiomatic,131072,1024,318821250
